CPU Split,GPU Split,TPU Split,CPU Time,GPU Time,TPU Time,Theoretical Sum,Actual Sum,Discrepancy
0,0,10,0,0,15.5803,15.5803,15679.5654,1006.371212
0,1,9,0,587.6219,13.9772,601.5991,15700.3348,26.09767003
0,2,8,0,687.393,12.5089,699.9019,15699.5877,22.43112599
0,3,7,0,640.8231,10.9176,651.7407,15704.7454,24.09661603
0,4,6,0,588.2038,9.3865,597.5903,15689.9026,26.25528326
0,5,5,0,593.505,7.7998,601.3048,15699.4432,26.10896038
0,6,4,0,588.7354,6.2662,595.0016,15685.4249,26.36198777
0,7,3,0,610.3594,4.7478,615.1072,15669.2301,25.47398258
0,8,2,0,590.5009,3.1917,593.6926,15662.5112,26.38151663
0,9,1,0,624.2748,1.6343,625.9091,15660.448,25.02032324
0,10,0,0,573.569,0,573.569,5774.1478,10.06705
1,0,9,166.6158,0,14.0455,180.6613,15706.8452,86.94084012
1,1,8,171.1199,2274.3553,12.5199,2457.9951,15717.029,6.394247491
1,2,7,2441.6149,651.1465,10.9356,3103.697,15692.3633,5.056022962
1,3,6,2468.6832,638.1569,9.4138,3116.2539,15695.505,5.036657957
1,4,5,167.6413,2362.1086,7.8891,2537.639,15730.789,6.198986144
1,5,4,2420.347,2599.119,6.4364,5025.9024,15726.8981,3.129169022
1,6,3,175.7481,2256.8621,4.8024,2437.4126,15718.7329,6.448942169
1,7,2,1323.7497,2147.5666,3.2821,3474.5984,15685.8026,4.514421753
1,8,1,2287.5706,2312.2784,1.6695,4601.5185,15688.1949,3.409351696
1,9,0,196.7974,2186.4385,0,2383.2359,8052.3744,3.378756757
2,0,8,190.0702,0,13.0977,203.1679,15671.2821,77.13463643
2,1,7,2399.6516,642.2695,10.9439,3052.865,15740.7335,5.156052921
2,2,6,2267.9087,2268.5405,9.4113,4545.8605,15728.7889,3.460024543
2,3,5,2297.6303,672.7087,7.8473,2978.1863,15691.966,5.268967223
2,4,4,2354.3155,664.3896,6.2714,3024.9765,15698.2999,5.189560944
2,5,3,190.3552,581.8259,4.7469,776.928,15716.0714,20.22847857
2,6,2,184.7813,2208.1694,3.2154,2396.1661,15718.8107,6.559983759
2,7,1,186.0208,2311.6837,1.6389,2499.3434,15695.4837,6.279842818
2,8,0,185.5153,589.5547,0,775.07,8622.9977,11.12544377
3,0,7,183.3069,0,10.9435,194.2504,15702.5867,80.83683071
3,1,6,188.0971,2136.2999,9.3835,2333.7805,15692.3759,6.724015348
3,2,5,187.1024,2324.0842,7.8083,2518.9949,15706.0815,6.235058872
3,3,4,199.3319,2227.608,6.2578,2433.1977,15799.841,6.493447285
3,4,3,190.5535,2363.2798,4.7499,2558.5832,15723.3857,6.145348605
3,5,2,237.7622,2289.3194,3.2554,2530.337,15734.7372,6.21843541
3,6,1,2254.877,2397.7346,1.6624,4654.274,15707.0794,3.374764657
3,7,0,2318.6804,2431.4209,0,4750.1013,9140.2077,1.924213216
4,0,6,194.3182,0,9.5628,203.881,15679.9132,76.90718213
4,1,5,208.5427,2228.4101,9.0704,2446.0232,15697.7477,6.417661002
4,2,4,202.3438,675.285,6.3817,884.0105,15702.7256,17.76305327
4,3,3,1318.7147,2092.1961,4.7435,3415.6543,15706.7383,4.598456671
4,4,2,191.1155,2239.5539,3.2051,2433.8745,15714.5025,6.456578801
4,5,1,193.0221,2315.7848,1.65,2510.4569,15684.7131,6.247752391
4,6,0,2548.5004,685.3282,0,3233.8286,8586.3765,2.655173654
5,0,5,189.1907,0,7.8489,197.0396,15670.9304,79.53188293
5,1,4,2268.767,2377.3075,6.2786,4652.3531,15699.5938,3.374549064
5,2,3,189.3411,2339.4004,4.7376,2533.4791,15711.3526,6.20149288
5,3,2,189.1115,2178.1608,3.1964,2370.4687,15734.7246,6.637811586
5,4,1,2310.4714,643.6508,1.6436,2955.7658,15732.7841,5.322743805
5,5,0,184.277,2431.026,0,2615.303,8424.3487,3.221175023
6,0,4,182.2087,0,6.2558,188.4645,15700.3028,83.30642004
6,1,3,2437.4201,662.4922,4.7321,3104.6444,15683.8779,5.051746957
6,2,2,183.0104,2218.784,3.2446,2405.039,15729.401,6.540185419
6,3,1,222.8001,2332.1611,1.6812,2556.6424,15701.7996,6.141570522
6,4,0,200.4277,2268.6588,0,2469.0865,8316.4784,3.368241007
7,0,3,183.4494,0,4.8283,188.2777,15670.7384,83.23204713
7,1,2,2418.5413,2580.9309,3.2142,5002.6864,15686.1757,3.135550471
7,2,1,212.7088,713.281,1.6516,927.6414,15664.7125,16.88660349
7,3,0,2532.5639,628.0129,0,3160.5768,8557.4577,2.707562018
8,0,2,185.9909,0,3.203,189.1939,15723.5612,83.10818266
8,1,1,194.4174,2206.2919,1.6414,2402.3507,15732.9898,6.548997946
8,2,0,212.3495,598.5145,0,810.864,8406.8463,10.36776364
9,0,1,185.0604,0,1.6497,186.7101,15649.5361,83.81729805
9,1,0,187.2954,576.0053,0,763.3007,8644.8596,11.32562776
10,0,0,186.5173,0,0,186.5173,4325.5217,23.19099462
